,rounds,opening,winner
0,9,"(1, 1)",tie
1,9,"(1, 1)",tie
2,9,"(1, 1)",tie
3,9,"(1, 1)",tie
4,9,"(1, 1)",tie
5,9,"(1, 1)",tie
6,9,"(2, 0)",tie
7,9,"(1, 1)",tie
8,7,"(1, 1)",q
9,9,"(1, 1)",tie
10,7,"(1, 1)",q
11,7,"(1, 1)",q
12,7,"(1, 1)",q
13,7,"(1, 1)",q
14,9,"(1, 1)",tie
15,9,"(1, 1)",tie
16,9,"(0, 0)",tie
17,9,"(1, 1)",tie
18,9,"(1, 1)",tie
19,9,"(1, 1)",tie
20,9,"(1, 1)",tie
21,9,"(1, 1)",tie
22,8,"(1, 1)",mcts
23,9,"(1, 1)",tie
24,6,"(2, 1)",mcts
25,9,"(2, 1)",tie
26,9,"(1, 1)",q
27,9,"(2, 0)",tie
28,7,"(1, 1)",q
29,7,"(1, 1)",q
30,7,"(1, 1)",q
31,7,"(2, 0)",q
32,9,"(1, 1)",tie
33,9,"(1, 1)",tie
34,9,"(1, 1)",tie
35,9,"(1, 1)",tie
36,9,"(1, 1)",tie
37,7,"(1, 1)",q
38,9,"(1, 1)",tie
39,6,"(2, 0)",mcts
40,7,"(1, 1)",q
41,9,"(1, 1)",tie
42,9,"(1, 1)",tie
43,9,"(1, 1)",tie
44,9,"(1, 1)",tie
45,9,"(0, 0)",tie
46,7,"(1, 1)",q
47,9,"(1, 1)",tie
48,7,"(1, 1)",q
49,6,"(1, 1)",mcts
